index_;dia;genotipo_teste;modelo;n_amostras_teste_mean;n_amostras_teste_std;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_score_mean;f1_score_std;kappa_mean;kappa_std;auc_roc_mean;auc_roc_std
0;D02;BR16;PLS-DA;64.0;;0.625;;0.625;;0.75;;0.375;;0.5;;0.25;;0.6611328125;
1;D02;BR16;RandomForest;64.0;;0.5625;;0.5625;;0.5588235294117647;;0.59375;;0.5757575757575758;;0.125;;0.52001953125;
2;D02;CD202;PLS-DA;64.0;;0.8125;;0.8125;;1.0;;0.625;;0.7692307692307693;;0.625;;0.7861328125;
3;D02;CD202;RandomForest;64.0;;0.640625;;0.640625;;0.7647058823529411;;0.40625;;0.5306122448979592;;0.28125;;0.6416015625;
4;D02;EMB48;PLS-DA;64.0;;0.625;;0.625;;0.75;;0.375;;0.5;;0.25;;0.673828125;
5;D02;EMB48;RandomForest;64.0;;0.5;;0.5;;0.5;;0.125;;0.2;;0.0;;0.50341796875;
6;D03;BR16;PLS-DA;64.0;;0.6875;;0.6875;;0.6153846153846154;;1.0;;0.7619047619047619;;0.375;;0.962890625;
7;D03;BR16;RandomForest;64.0;;0.6875;;0.6875;;0.6153846153846154;;1.0;;0.7619047619047619;;0.375;;0.6875;
8;D03;CD202;PLS-DA;64.0;;0.875;;0.875;;0.8;;1.0;;0.8888888888888888;;0.75;;0.978515625;
9;D03;CD202;RandomForest;64.0;;0.90625;;0.90625;;0.8421052631578947;;1.0;;0.9142857142857143;;0.8125;;1.0;
10;D03;EMB48;PLS-DA;64.0;;0.875;;0.875;;1.0;;0.75;;0.8571428571428571;;0.75;;0.96875;
11;D03;EMB48;RandomForest;64.0;;0.90625;;0.90625;;1.0;;0.8125;;0.896551724137931;;0.8125;;1.0;
12;D04;BR16;PLS-DA;64.0;;0.78125;;0.78125;;0.6956521739130435;;1.0;;0.8205128205128205;;0.5625;;0.90625;
13;D04;BR16;RandomForest;64.0;;0.828125;;0.828125;;0.7441860465116279;;1.0;;0.8533333333333334;;0.65625;;0.95556640625;
14;D04;CD202;PLS-DA;64.0;;0.90625;;0.90625;;0.8421052631578947;;1.0;;0.9142857142857143;;0.8125;;0.890625;
15;D04;CD202;RandomForest;64.0;;0.75;;0.75;;0.6666666666666666;;1.0;;0.8;;0.5;;0.9482421875;
16;D04;EMB48;PLS-DA;64.0;;0.890625;;0.890625;;0.9629629629629629;;0.8125;;0.8813559322033898;;0.78125;;0.9873046875;
17;D04;EMB48;RandomForest;64.0;;0.9375;;0.9375;;0.9666666666666667;;0.90625;;0.9354838709677419;;0.875;;0.9736328125;
18;D05;BR16;PLS-DA;64.0;;0.875;;0.875;;0.8;;1.0;;0.8888888888888888;;0.75;;0.86328125;
19;D05;BR16;RandomForest;64.0;;0.875;;0.875;;0.8;;1.0;;0.8888888888888888;;0.75;;0.91162109375;
20;D05;CD202;PLS-DA;64.0;;0.8125;;0.8125;;0.7631578947368421;;0.90625;;0.8285714285714286;;0.625;;0.96484375;
21;D05;CD202;RandomForest;64.0;;0.84375;;0.84375;;0.8666666666666667;;0.8125;;0.8387096774193549;;0.6875;;0.9453125;
22;D05;EMB48;PLS-DA;64.0;;0.9375;;0.9375;;0.8888888888888888;;1.0;;0.9411764705882353;;0.875;;0.9599609375;
23;D05;EMB48;RandomForest;64.0;;0.75;;0.75;;0.7;;0.875;;0.7777777777777778;;0.5;;0.876953125;
24;D06;BR16;PLS-DA;64.0;;1.0;;1.0;;1.0;;1.0;;1.0;;1.0;;1.0;
25;D06;BR16;RandomForest;64.0;;1.0;;1.0;;1.0;;1.0;;1.0;;1.0;;1.0;
26;D06;CD202;PLS-DA;64.0;;0.921875;;0.921875;;0.9090909090909091;;0.9375;;0.9230769230769231;;0.84375;;0.990234375;
27;D06;CD202;RandomForest;64.0;;0.984375;;0.984375;;0.9696969696969697;;1.0;;0.9846153846153847;;0.96875;;1.0;
28;D06;EMB48;PLS-DA;64.0;;0.953125;;0.953125;;1.0;;0.90625;;0.9508196721311475;;0.90625;;1.0;
29;D06;EMB48;RandomForest;64.0;;0.9375;;0.9375;;1.0;;0.875;;0.9333333333333333;;0.875;;0.994140625;
30;D09;BR16;PLS-DA;64.0;;0.5625;;0.5625;;1.0;;0.125;;0.2222222222222222;;0.125;;0.6435546875;
31;D09;BR16;RandomForest;64.0;;0.46875;;0.46875;;0.4166666666666667;;0.15625;;0.22727272727272727;;-0.0625;;0.76611328125;
32;D09;CD202;PLS-DA;68.0;;0.9411764705882353;;0.9444444444444444;;0.8888888888888888;;1.0;;0.9411764705882353;;0.8827586206896552;;0.9618055555555555;
33;D09;CD202;RandomForest;68.0;;0.8382352941176471;;0.8368055555555556;;0.8387096774193549;;0.8125;;0.8253968253968254;;0.6747826086956521;;0.9201388888888888;
34;D09;EMB48;PLS-DA;64.0;;1.0;;1.0;;1.0;;1.0;;1.0;;1.0;;1.0;
35;D09;EMB48;RandomForest;64.0;;0.71875;;0.71875;;0.8181818181818182;;0.5625;;0.6666666666666666;;0.4375;;0.9130859375;
36;D10;BR16;PLS-DA;64.0;;0.5;;0.5;;0.5;;0.125;;0.2;;0.0;;0.6025390625;
37;D10;BR16;RandomForest;64.0;;0.40625;;0.40625;;0.0;;0.0;;0.0;;-0.1875;;0.62744140625;
38;D10;CD202;PLS-DA;64.0;;0.8125;;0.8125;;0.7777777777777778;;0.875;;0.8235294117647058;;0.625;;0.892578125;
39;D10;CD202;RandomForest;64.0;;0.671875;;0.671875;;0.6078431372549019;;0.96875;;0.7469879518072289;;0.34375;;0.90087890625;
40;D10;EMB48;PLS-DA;64.0;;0.84375;;0.84375;;1.0;;0.6875;;0.8148148148148148;;0.6875;;0.9716796875;
41;D10;EMB48;RandomForest;64.0;;0.59375;;0.59375;;0.6071428571428571;;0.53125;;0.5666666666666667;;0.1875;;0.7197265625;
