fold;genotipo_treino;genotipo_teste;modelo;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1924;1935;1914;1945;1950;1360;719;1929;1919;1350;1375;1366;1361;1351;1841;1925;1915;1831;1928;1938;1947;1916;1958;713;1379;1374;404;1388;1373;1363;1918;403;1952;1942;410;1933;1833;1852;1547;1537;1557;1355;1365;1940;1378;1368;716;1931;1651;1640;1661;1922;1932;1941;1912;1951;748;738;1939;1917;1934;1926;1943;721;711;726;705;1376;1837;1847;1499;1488;1478;1356;1878;1840;1377;709;1372;704;1345;1339;402;714;1354
1;BR16+CD202;EMB48;PLS-DA;138;B4_EMB48_NIRRIG_REPROD00000.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4890231774854121;False;-1.5365647017986417;-1.5115987990337467;-1.5268482166892055;-1.4669897479205996;-1.4387667047278037;0.8114470379693752;0.35870726300894173;-1.5291091317803334;-1.5370525623655455;0.8554088587192035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;139;B3_EMB48_IRRIG_REPROD00002.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.38876161225583794;True;-1.5265606656784196;-1.5135375615325912;-1.504793460585015;-1.4787879243676687;-1.4546443049710436;0.8348042297815849;0.1014531034333959;-1.5249403853483505;-1.5208070599926522;0.8800138444375112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;140;B4_EMB48_NIRRIG_REPROD00001.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4936682540258417;False;-1.5344393668964622;-1.5092656473817827;-1.5245626240642838;-1.463833790663036;-1.4355840608816857;0.8122336634577346;0.35333358421502864;-1.5262170896867637;-1.5344461518696126;0.8548849515800067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;141;B3_EMB48_IRRIG_REPROD00003.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.38962368589659924;True;-1.527325501387037;-1.5148517711249951;-1.5056543378054104;-1.4799744442482015;-1.455194186893545;0.8339369926738877;0.10301617637527545;-1.5255484298311932;-1.521994766437013;0.8792904787812343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;142;B4_EMB48_NIRRIG_REPROD00002.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.49955530406101273;False;-1.52987079403704;-1.5044826372279791;-1.5203499776942009;-1.4588049725793335;-1.4304798762437632;0.8137628432863593;0.3450117220732753;-1.5214438576931266;-1.5298416413963616;0.8549562365644322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;143;B3_EMB48_IRRIG_REPROD00004.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4643798065486847;True;-1.508621073948534;-1.4932061411570046;-1.4873197280643664;-1.4541336180619089;-1.4277727730756966;0.8238301819650596;0.07854017158178979;-1.5058190534153124;-1.5033434306012297;0.865069951396806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;144;B4_EMB48_NIRRIG_REPROD00003.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5028760218874716;True;-1.5289898743234192;-1.5031115940139002;-1.5191615346928309;-1.4571441182812195;-1.4285954746375376;0.8132313174998063;0.34232477346238493;-1.521216378154208;-1.5294052552565076;0.8546419290959243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;145;B3_EMB48_IRRIG_REPROD00005.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.46840142102309607;True;-1.513349764697972;-1.4974945116671063;-1.4918169606287564;-1.4581046476806718;-1.4315004946911771;0.8194390224708346;0.08604332364241458;-1.5107340905477253;-1.5080935628269463;0.8620901696556701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;146;B4_EMB48_NIRRIG_REPROD00004.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5901216166581179;True;-1.469802971457076;-1.439404163842227;-1.4574939396895132;-1.3851604845206669;-1.3508465000309893;0.8196753245678109;0.059201153939536344;-1.4607042190388848;-1.4698665505769049;0.85524497131415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;147;B3_EMB48_IRRIG_REPROD00006.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4672759065512423;True;-1.5139050146827977;-1.497945082955096;-1.4920736588996333;-1.4590462316704607;-1.4328187305912534;0.8197344520287428;0.08636352742315415;-1.5110816969677416;-1.5084873687088924;0.8617991846681872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
