modelo;dia;fold;genotipo_treino;genotipo_teste;n_amostras_teste;accuracy;balanced_accuracy;precision;recall;f1_score;kappa;auc_roc
PLS-DA;D04;1;CD202;CD202;16;0.9375;0.9375;0.8888888888888888;1.0;0.9411764705882353;0.875;1.0
RandomForest;D04;1;CD202;CD202;16;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;0.9375
PLS-DA;D04;2;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D04;2;CD202;CD202;16;0.5;0.5;0.0;0.0;0.0;0.0;0.75
PLS-DA;D04;3;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.875
RandomForest;D04;3;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.875
PLS-DA;D04;4;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.84375
RandomForest;D04;4;CD202;CD202;16;0.8125;0.8125;0.7777777777777778;0.875;0.8235294117647058;0.625;0.875
PLS-DA;D04;1;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D04;1;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.9453125
PLS-DA;D04;2;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D04;2;EMB48;EMB48;16;0.5;0.5;0.0;0.0;0.0;0.0;0.75
PLS-DA;D04;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D04;3;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.75
PLS-DA;D04;4;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D04;4;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;1;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;1;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;2;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;2;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;3;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;3;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;1;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;1;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;1;EMB48;EMB48;16;0.8125;0.8125;1.0;0.625;0.7692307692307693;0.625;1.0
RandomForest;D05;1;EMB48;EMB48;16;0.25;0.25;0.0;0.0;0.0;-0.5;0.5
PLS-DA;D05;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D05;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D05;3;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.75
RandomForest;D05;3;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.875
PLS-DA;D05;4;EMB48;EMB48;16;0.6875;0.6875;1.0;0.375;0.5454545454545454;0.375;0.71875
RandomForest;D05;4;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.6875
PLS-DA;D06;1;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;1;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;2;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;2;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
